Year,GICS_Sector,Yearly_Performance
2018,Communication Services,235.8964817349666
2018,Consumer Discretionary,37.7611104943999
2018,Consumer Staples,170.3840696935974
2018,Energy,-52.2158037256110
2018,Financials,-68.5689459616809
2018,Health Care,4.3474450519351
2018,Industrials,288.2481850716199
2018,Information Technology,-62.0301970202502
2018,Materials,40.8644460649912
2018,Real Estate,161.3141927983437
2018,Utilities,-29.3853740105006
2019,Communication Services,514.5952194115478
2019,Consumer Discretionary,134.6307127364634
2019,Consumer Staples,278.2802085866741
2019,Energy,-33.0257543225123
2019,Financials,-56.8314896251084
2019,Health Care,80.5621223116870
2019,Industrials,431.1638430216516
2019,Information Technology,-21.5963450564505
2019,Materials,98.7362503717166
2019,Real Estate,314.1417726474744
2019,Utilities,-1.7961277286948
2020,Communication Services,527.5825695970596
2020,Consumer Discretionary,110.7655325124509
2020,Consumer Staples,199.2671174724138
2020,Energy,-38.3595590366470
2020,Financials,-75.1128151993746
2020,Health Care,136.9441747851177
2020,Industrials,351.2755464504872
2020,Information Technology,-5.1657421034692
2020,Materials,70.8743194007090
2020,Real Estate,292.3057176968409
2020,Utilities,-23.3528665476594
2021,Communication Services,375.2409155055108
2021,Consumer Discretionary,81.7884265771995
2021,Consumer Staples,207.9191386505678
2021,Energy,191.5785069639593
2021,Financials,-73.0364892179097
2021,Health Care,238.7497859708043
2021,Industrials,695.8134732818331
2021,Information Technology,138.8726365335088
2021,Materials,70.8435523299998
2021,Real Estate,576.6857476513730
2021,Utilities,-21.8411161170073
2022,Communication Services,154.2675154279191
2022,Consumer Discretionary,-16.5907642618954
2022,Consumer Staples,178.9950174279181
2022,Energy,135.0840052310795
2022,Financials,-83.3229856300376
2022,Health Care,141.7695502670033
2022,Industrials,564.8092245332265
2022,Information Technology,-27.0081604419481
2022,Materials,-12.2421632178457
2022,Real Estate,243.1897670065999
2022,Utilities,-24.0389524183206
2023,Communication Services,225.7186284366210
2023,Consumer Discretionary,33.9316634959767
2023,Consumer Staples,107.0729510352137
2023,Energy,45.2231705659766
2023,Financials,-78.4189096909220
2023,Health Care,55.4031958025722
2023,Industrials,690.7262257943973
2023,Information Technology,171.0687502483958
2023,Materials,51.3763117690740
2023,Real Estate,277.1183098016482
2023,Utilities,-33.6550545993220
