Company,Split_Date,Volume_After_Split,Volume_Before_Split
DELL,2018-12-28,5814338889,287270028
GOOGL,2022-07-18,11050184356,31558394000
FTV,2020-10-09,1765849802,1168990707
CNQ,2022-08-22,756507437,3216639145
ZBH,2022-03-01,621378275,1122271932
BHP,2022-06-02,1135492570,2707823867
CM,2022-05-16,441345185,850472000
DXCM,2022-06-13,1157128742,3647048400
APH,2021-03-05,1668620525,1647382800
CSGP,2021-06-28,1380729478,1683541000
BN,2020-04-02,2455382602,1002739850
CPRT,2022-11-04,1090366465,5344777200
EW,2020-06-01,2625269938,1489685700
AMZN,2022-06-06,23895116962,73755852000
BBD,2019-04-01,30350291214,1392259200
MCHP,2021-10-13,2559899690,3606831800
O,2021-11-15,2223388125,2089343136
PCAR,2023-02-08,522441744,3005454750
FAST,2019-05-23,4104064434,581981400
PANW,2022-09-14,1366444297,3852144000
SHOP,2022-06-29,6953148333,19291815000
ANET,2021-11-18,1201324007,2179751600
TSLA,2020-08-31,88375769215,80105067000
PFE,2020-11-17,21797686319,13681257495
GE,2019-02-26,12268959385,1167264659
NTES,2020-10-02,1714838035,1731927500
FTNT,2022-06-23,2022363702,6477079000
TU,2020-03-18,1286607760,296819200
TT,2020-03-02,1278453188,575180679
HDB,2019-09-26,1865414847,331266000
NDAQ,2022-08-29,805219640,2308310100
CP,2021-05-14,1800180084,1413246000
GSK,2022-07-19,1522161657,3672084600
AAPL,2020-08-31,69994690585,60588813200
ROL,2018-12-11,2240806879,17487450
T,2022-04-11,16887427834,43972692368
IBM,2021-11-04,2491395815,3778318729
NVDA,2021-07-20,28720171346,30039746000
SHW,2021-04-01,958022704,982715700
TRI,2023-06-23,40112772,554681900
PUK,2021-09-20,347128697,275980654
DTE,2021-07-01,731666188,874944651
CNC,2019-02-07,5015031070,175897000
DD,2019-04-02,5099731885,746829476
ITUB,2021-10-04,19209582547,24953137703
CSX,2021-06-29,8443264641,8725615500
ISRG,2021-10-05,1026463940,1424974200
NWG,2022-08-30,498901692,1294741427
SRE,2023-08-22,202427683,3626149200
EXC,2022-02-02,3225122061,6430852583
BDX,2022-04-01,496966453,1242545296
NVS,2019-04-09,2414370837,219009978
DHR,2023-10-02,138388010,4256539905
NEE,2020-10-27,6753682014,4215922800
ELP,2021-03-18,547411274,699084200
TTD,2021-06-17,3226939209,9157267000
RJF,2021-09-22,648234214,927072600
RTX,2020-04-03,6199320440,2320860367
MRK,2021-06-03,6327708921,6909860463
NVO,2023-09-20,241230082,3307594200
ODFL,2020-03-25,724705782,283985400
